0,1,2,3,4
300,10,5,10,20
301,8,7,14,20
302,7,2,14,20
303,6,4,18,20
304,8,8,2,4
305,8,7,14,20
306,4,6,20,18
307,10,7,11,20
308,4,4,18,20
309,9,4,10,20
310,13,5,4,19
311,7,2,14,20
312,7,5,18,20
313,8,6,12,20
314,8,5,14,20
315,9,4,11,20
316,7,5,15,20
317,4,3,19,20
318,7,10,1,1
319,9,6,12,20
320,7,4,14,20
321,4,4,17,20
322,6,6,15,20
323,6,1,17,20
324,5,7,18,20
325,4,4,20,20
326,7,4,16,20
327,2,4,20,20
328,7,5,16,20
329,5,3,18,20
330,7,4,14,20
331,8,2,13,20
332,8,4,15,20
333,8,5,16,20
334,8,5,13,20
335,5,8,14,14
336,8,5,12,20
337,7,7,16,20
338,23,14,1,1
339,3,3,20,20
340,6,6,15,20
341,3,4,20,20
342,8,6,14,19
343,7,4,16,20
344,7,6,14,20
345,9,4,11,20
346,5,5,15,20
347,3,3,20,20
348,9,4,12,20
349,6,7,18,20
350,8,6,11,20
351,10,4,11,20
352,8,4,14,20
353,9,6,12,20
354,9,5,10,20
355,8,4,12,20
356,7,5,12,20
357,9,4,11,20
358,11,4,5,20
359,6,4,18,20
360,6,3,20,20
361,4,5,19,20
362,9,6,12,20
363,8,4,13,20
364,9,6,10,19
365,4,4,17,20
366,10,4,6,20
367,7,2,16,20
368,22,10,1,1
369,7,5,16,20
370,9,6,10,20
371,7,7,15,20
372,8,6,14,18
373,6,4,16,20
374,8,6,12,20
375,3,3,20,20
376,10,4,9,20
377,7,7,16,20
378,6,3,18,20
379,8,4,14,20
380,5,5,19,19
381,4,3,18,20
382,12,4,4,20
383,8,6,13,20
384,5,6,19,19
385,3,3,20,20
386,5,5,17,20
387,8,7,13,20
388,11,3,9,19
389,9,6,12,20
390,8,4,14,20
391,4,3,18,20
392,4,5,18,20
393,6,5,18,20
394,11,4,9,20
395,7,2,15,20
396,8,4,13,20
397,8,4,11,20
398,13,4,4,20
399,6,4,18,20
400,5,3,20,20
401,9,2,12,20
402,6,5,16,20
403,4,6,20,15
404,6,5,16,19
405,3,4,20,20
406,12,4,8,20
407,4,8,16,14
408,12,5,6,20
409,4,10,1,1
410,6,3,20,20
411,7,7,15,20
412,13,23,2,4
413,7,4,15,20
414,6,4,14,20
415,6,5,17,20
416,10,3,9,20
417,5,8,20,13
418,6,18,3,4
419,9,6,11,20
420,9,6,12,20
421,8,2,13,20
422,7,8,14,20
423,9,6,12,20
424,4,6,18,20
425,4,5,20,18
426,3,9,20,18
427,5,4,18,20
428,7,6,12,20
429,5,4,20,20
430,9,3,12,20
431,8,2,14,20
432,7,3,16,20
433,4,4,18,20
434,11,11,11,15
435,5,4,20,19
436,7,6,12,19
437,23,8,1,1
438,7,6,14,19
439,6,5,18,19
440,5,4,20,20
441,9,6,11,20
442,8,5,13,19
443,8,4,12,20
444,6,5,15,20
445,7,5,16,20
446,6,7,16,20
447,8,4,12,20
448,2,3,20,19
449,7,3,16,20
450,12,4,5,20
451,25,21,2,1
452,4,5,20,18
453,5,5,20,18
454,13,6,3,19
455,8,5,11,20
456,20,8,1,1
457,6,4,17,20
458,6,5,18,20
459,8,6,12,20
460,8,7,12,20
461,6,4,18,20
462,4,6,20,18
463,5,20,2,2
464,5,4,20,20
465,6,2,17,20
466,11,4,8,20
467,6,7,18,20
468,3,9,20,16
469,7,5,20,19
470,12,5,6,20
471,8,6,14,20
472,8,4,13,20
473,4,5,20,18
474,7,6,20,17
475,8,5,13,20
476,6,10,20,11
477,4,4,19,20
478,5,7,18,20
479,6,5,16,20
480,8,5,14,20
481,6,5,19,19
482,9,6,11,20
483,5,6,20,20
484,13,4,3,20
485,6,4,19,20
486,3,5,20,19
487,4,13,1,1
488,9,3,14,20
489,5,6,20,16
490,5,4,17,20
491,5,5,18,20
492,10,5,11,20
493,3,5,20,18
494,7,3,17,20
495,5,4,18,20
496,7,4,14,20
497,5,6,18,20
498,9,4,12,18
499,7,4,20,20
500,5,6,16,20
501,4,7,18,20
502,10,5,8,20
503,6,4,18,20
504,4,4,19,20
505,6,7,17,20
506,6,4,20,20
507,7,5,14,20
508,8,5,14,20
509,4,6,20,20
510,10,4,9,20
511,4,7,19,20
512,6,5,18,20
513,6,7,20,16
514,8,8,11,16
515,4,5,20,17
516,18,5,6,3
517,6,4,18,20
518,5,8,18,16
519,4,13,1,1
520,8,6,12,20
521,6,7,18,20
522,4,7,18,20
523,5,8,20,14
524,6,4,18,20
525,5,10,1,2
526,5,4,20,20
527,6,5,16,18
528,4,5,20,18
529,7,6,14,19
530,23,18,1,1
531,19,16,1,1
532,7,6,14,20
533,6,5,18,20
534,9,2,14,20
535,7,4,16,20
536,9,1,13,20
537,8,7,18,16
538,10,4,9,20
539,7,8,1,1
540,8,6,13,20
541,15,7,1,1
542,8,4,14,20
543,6,5,20,19
544,4,4,19,20
545,8,4,16,20
546,5,3,16,20
547,6,6,1,1
548,5,4,18,20
549,4,5,19,20
550,8,6,12,20
551,8,13,1,1
552,7,3,11,20
553,13,21,1,1
554,7,5,16,20
555,6,4,17,20
556,12,5,6,19
557,3,15,18,10
558,5,7,20,14
559,6,4,18,20
560,9,6,11,20
561,4,5,20,20
562,2,7,20,20
563,5,4,19,20
564,7,5,14,20
565,6,2,16,20
566,8,6,11,20
567,6,7,16,20
568,4,4,20,20
569,7,5,18,20
570,4,6,20,17
571,8,5,17,20
572,12,4,6,20
573,8,5,13,20
574,10,6,3,3
575,7,5,16,20
576,7,5,12,20
577,4,5,20,19
578,9,4,12,20
579,7,6,19,17
580,7,6,13,20
581,3,5,20,20
582,8,5,13,20
583,5,6,16,20
584,8,3,12,19
585,5,7,20,16
586,7,7,3,3
587,7,5,15,20
588,17,23,1,2
589,8,6,14,20
590,22,13,2,2
591,3,4,20,20
592,8,4,14,17
593,7,4,16,20
594,9,4,12,20
595,6,7,14,20
596,6,5,17,19
597,6,3,16,20
598,6,2,19,19
599,6,7,15,19
600,10,7,8,20
601,7,6,16,20
602,9,4,14,20
603,4,4,19,20
604,13,24,1,1
605,20,14,1,2
606,3,4,20,20
607,6,3,16,20
608,6,6,15,20
609,9,5,13,20
610,5,7,20,20
611,7,6,14,20
612,7,4,16,20
613,6,6,15,20
614,6,7,20,14
615,8,5,20,20
616,7,5,14,20
617,5,7,18,20
618,12,5,5,20
619,4,5,20,18
620,7,5,16,20
621,9,6,13,19
622,6,4,18,20
623,7,4,16,20
624,7,5,14,20
625,8,4,13,20
626,4,7,20,19
627,8,7,17,15
628,16,23,1,2
629,3,6,19,20
630,11,3,8,20
631,5,6,18,20
632,3,8,20,20
633,22,14,2,3
634,10,6,8,20
635,5,5,20,18
636,10,7,10,20
637,8,4,15,20
638,13,5,4,19
639,5,4,18,20
640,3,9,20,19
641,7,6,14,19
642,4,4,18,20
643,4,23,1,1
644,10,7,10,20
645,7,6,15,20
646,9,4,10,20
647,7,6,20,17
648,10,5,8,20
649,7,3,16,20
650,5,7,20,16
651,7,7,16,20
652,9,4,12,20
653,6,5,19,20
654,4,7,16,19
655,6,6,19,18
656,7,4,16,19
657,3,5,20,20
658,6,3,20,20
659,4,5,19,20
660,10,3,10,20
661,6,5,20,20
662,7,5,16,20
663,22,15,1,1
664,5,8,20,14
665,5,3,18,20
666,7,3,14,20
667,5,7,20,16
668,7,5,15,20
669,5,4,17,20
670,5,4,20,20
671,8,5,13,20
672,9,3,12,20
673,22,15,1,1
674,10,4,12,20
675,4,4,17,20
676,11,4,8,20
677,5,5,18,20
678,13,4,4,20
679,4,5,17,19
680,6,5,18,20
681,6,2,17,20
682,17,16,2,8
683,7,7,16,20
684,7,3,14,20
685,7,5,16,20
686,5,7,15,20
687,7,6,14,20
688,4,5,20,18
689,4,4,19,20
690,9,5,12,20
691,8,5,14,20
692,6,6,15,20
693,5,5,19,16
694,9,5,10,20
695,4,4,18,20
696,7,4,14,20
697,5,5,19,20
698,9,4,12,19
699,4,4,19,20
700,8,5,15,20
701,6,2,17,20
702,7,4,16,20
703,7,7,16,20
704,3,7,20,17
705,7,5,18,20
706,5,6,16,20
707,8,6,12,20
708,10,5,10,20
709,4,6,19,18
710,12,4,5,20
711,7,5,16,20
712,5,4,17,20
713,3,4,20,20
714,6,3,16,20
715,23,14,1,1
716,6,3,15,20
717,4,5,20,20
718,7,6,14,20
719,5,5,20,20
720,10,5,10,20
721,6,2,17,20
722,7,13,15,13
723,6,7,17,20
724,4,7,17,20
725,7,5,18,20
726,8,5,12,20
727,8,6,14,20
728,10,6,10,20
729,5,5,20,20
730,23,14,3,3
731,4,4,18,20
732,5,3,20,20
733,5,5,20,19
734,6,6,16,20
735,7,2,15,20
736,9,5,12,20
737,7,3,16,20
738,12,5,5,19
739,6,2,18,20
740,9,5,10,20
741,8,6,14,20
742,13,15,1,1
743,4,4,20,20
744,9,7,10,20
745,4,4,20,20
746,10,4,10,20
747,8,4,14,20
748,7,4,14,20
749,5,5,19,20
750,6,6,14,20
751,5,5,20,20
752,6,5,15,20
753,3,8,1,1
754,13,22,2,3
755,7,6,16,20
756,6,5,19,20
757,5,5,19,18
758,8,5,18,20
759,5,4,20,18
760,5,6,18,20
761,8,5,16,20
762,9,2,13,20
763,6,6,16,20
764,4,7,18,20
765,8,4,12,20
766,8,5,14,20
767,5,4,15,20
768,7,4,16,20
769,7,6,20,20
770,21,17,1,1
771,6,4,18,20
772,5,6,18,20
773,8,7,14,20
774,5,3,18,20
775,20,24,1,1
776,9,4,12,20
777,8,5,16,20
778,11,20,6,5
779,7,4,14,20
780,12,4,4,20
781,4,4,20,20
782,7,6,14,20
783,8,4,12,20
784,9,4,13,20
785,7,2,15,20
786,7,7,12,20
787,4,4,20,20
788,9,5,12,20
789,5,4,16,20
790,4,4,20,20
791,8,5,16,20
792,5,4,18,20
793,8,6,14,20
794,7,2,16,20
795,8,6,13,20
796,9,4,13,20
797,5,5,18,20
798,5,7,14,20
799,5,4,20,20
800,9,6,12,20
801,4,4,20,16
802,9,3,12,20
803,7,7,15,19
804,4,5,17,20
805,6,4,16,20
806,8,6,12,20
807,5,5,20,16
808,8,6,10,20
809,9,4,11,20
810,9,2,13,20
811,4,4,17,20
812,8,7,12,20
813,4,6,20,16
814,6,3,20,20
815,6,4,17,20
816,9,3,12,20
817,7,5,16,20
818,7,5,16,20
819,7,6,16,20
820,5,7,15,20
821,6,4,17,20
822,10,11,8,15
823,7,5,16,20
824,6,7,12,20
825,4,3,19,20
826,5,6,20,20
827,8,6,14,20
828,19,6,5,18
829,7,3,16,20
830,5,4,20,20
831,7,5,18,20
832,7,4,13,20
833,8,4,12,20
834,7,5,13,19
835,8,4,13,20
836,7,5,14,20
837,4,5,20,18
838,12,5,5,20
839,8,7,14,20
840,7,4,13,20
841,7,2,15,20
842,7,5,14,20
843,5,4,17,20
844,5,4,18,20
845,5,4,19,20
846,8,4,15,20
847,5,5,20,20
848,5,3,17,20
849,5,4,18,20
850,7,2,18,20
851,4,6,20,18
852,10,3,10,20
853,8,7,14,20
854,7,6,14,20
855,5,5,20,20
856,9,5,9,20
857,3,4,19,20
858,8,5,13,19
859,4,4,20,20
860,6,4,17,20
861,5,4,18,20
862,4,4,20,19
863,23,17,2,2
864,10,6,8,20
865,6,5,18,20
866,19,23,2,1
867,4,4,19,20
868,5,9,3,2
869,5,4,18,20
870,10,4,9,20
871,7,5,13,19
872,6,4,20,20
873,4,3,19,20
874,5,4,18,20
875,4,5,20,20
876,8,5,11,20
877,6,5,16,20
878,9,6,10,20
879,7,9,18,12
880,6,7,16,20
881,7,2,15,20
882,5,5,17,20
883,4,7,18,20
884,10,5,9,20
885,7,5,16,20
886,5,4,20,20
887,5,6,18,20
888,9,7,10,20
889,4,4,20,20
890,8,5,14,20
891,7,4,14,20
892,7,3,13,20
893,4,5,20,20
894,8,6,16,20
895,4,5,19,20
896,7,5,19,20
897,5,5,20,18
898,6,7,15,20
899,6,8,20,12
900,13,21,3,5
901,8,2,15,20
902,6,5,16,20
903,5,4,19,20
904,3,7,17,20
905,6,4,16,20
906,6,5,17,20
907,4,3,20,20
908,4,9,18,19
909,3,4,20,20
910,7,3,18,20
911,5,7,18,20
912,8,5,17,20
913,5,6,20,18
914,6,5,16,20
915,6,8,20,14
916,8,4,14,20
917,4,4,19,18
918,8,6,13,20
919,7,4,14,20
920,10,4,8,20
921,7,8,20,14
922,11,14,8,8
923,7,5,18,20
924,4,5,20,20
925,8,5,17,20
926,4,4,20,20
927,6,4,16,20
928,6,7,17,20
929,6,6,17,20
930,7,6,15,20
931,4,5,20,18
932,6,7,14,19
933,2,18,1,2
934,4,6,19,20
935,5,8,20,14
936,7,6,11,20
937,9,23,1,1
938,9,4,13,20
939,8,3,14,20
940,7,6,13,20
941,7,4,14,20
942,4,8,20,20
943,5,3,16,20
944,5,1,18,20
945,7,5,15,20
946,7,5,16,20
947,22,9,3,2
948,9,6,12,20
949,5,4,18,20
950,6,6,17,20
951,7,4,15,20
952,8,5,13,20
953,3,5,18,20
954,7,7,16,20
955,8,2,12,20
956,5,3,18,20
957,5,4,16,20
958,8,4,12,20
959,6,4,16,20
960,6,5,20,20
961,8,4,13,20
962,3,8,18,20
963,7,5,16,20
964,6,5,19,20
965,5,4,18,20
966,3,6,20,16
967,5,6,20,17
968,10,6,11,20
969,4,6,17,20
970,8,4,15,20
971,2,10,1,1
972,5,6,18,20
973,7,2,13,20
974,8,5,14,20
975,2,4,19,20
976,9,5,14,20
977,7,2,15,20
978,10,5,6,19
979,5,4,17,20
980,10,6,10,20
981,6,6,18,20
982,10,4,9,20
983,5,5,16,20
984,6,4,19,20
985,6,8,19,14
986,6,2,17,20
987,5,5,19,20
988,15,24,1,1
989,4,4,20,20
990,4,6,18,20
991,7,5,16,20
992,6,4,17,20
993,7,4,13,20
994,3,8,19,20
995,5,8,19,18
996,10,3,10,20
997,5,4,18,20
998,7,4,14,20
999,7,2,16,20
1000,9,5,12,20
1001,6,6,18,20
1002,13,5,4,19
1003,7,4,15,20
1004,7,5,12,20
1005,6,6,17,20
1006,8,5,12,20
1007,7,6,14,20
1008,7,6,16,20
1009,5,6,20,16
1010,3,3,20,20
1011,22,15,1,1
1012,11,6,6,19
1013,6,7,20,18
1014,7,7,14,20
1015,5,4,20,20
1016,9,6,14,20
1017,8,5,12,20
1018,7,4,16,20
1019,4,6,19,20
1020,9,3,10,20
1021,5,4,16,20
1022,7,7,12,20
1023,9,10,13,13
1024,7,5,15,20
1025,8,4,13,20
1026,9,5,12,20
1027,9,7,9,19
1028,5,4,20,20
1029,21,8,3,6
1030,5,4,19,18
1031,9,5,11,20
1032,6,5,15,20
1033,5,6,18,17
1034,18,19,8,2
1035,18,20,2,3
1036,7,7,16,19
1037,10,19,5,6
1038,6,6,15,20
1039,5,12,15,11
1040,4,5,20,20
1041,6,1,16,20
1042,6,7,14,20
1043,5,7,20,20
1044,11,5,8,20
1045,7,4,16,20
1046,10,23,2,1
1047,8,5,17,20
1048,6,4,18,20
1049,12,22,1,2
1050,7,3,16,20
1051,8,4,13,20
1052,12,4,6,20
1053,6,10,15,14
1054,3,8,19,19
1055,4,6,19,16
1056,8,7,14,20
1057,9,8,9,5
1058,9,4,14,20
1059,14,20,1,2
1060,12,4,5,20
1061,21,6,1,2
1062,5,5,18,20
1063,9,4,12,20
1064,7,5,14,20
1065,10,4,9,20
1066,7,6,14,20
1067,6,4,18,20
1068,10,4,10,20
1069,6,4,17,20
1070,10,4,11,20
1071,5,5,20,18
1072,4,7,18,20
1073,7,5,17,20
1074,8,17,11,7
1075,4,9,19,12
1076,8,5,14,20
1077,4,18,17,7
1078,4,4,20,20
1079,9,6,9,18
1080,9,21,3,3
1081,10,5,9,20
1082,6,8,18,20
1083,24,25,1,1
1084,11,4,6,20
1085,7,5,14,20
1086,10,4,12,20
1087,5,17,14,6
1088,11,25,2,1
1089,6,7,20,14
1090,6,4,18,20
1091,5,2,18,20
1092,9,3,12,20
1093,4,4,20,19
1094,6,5,12,20
1095,9,5,11,20
1096,4,2,20,20
1097,3,3,19,20
1098,7,5,13,20
1099,22,11,1,1
1100,11,3,8,20
1101,7,5,15,19
1102,17,5,1,1
1103,7,6,15,20
1104,5,18,1,1
1105,8,5,15,20
1106,9,6,11,20
1107,6,4,18,20
1108,4,5,19,20
1109,6,5,20,18
1110,9,5,10,20
1111,6,16,12,6
1112,7,6,13,20
1113,8,2,13,20
1114,7,7,15,20
1115,17,23,1,1
1116,6,6,15,20
1117,6,2,15,20
1118,11,5,6,19
1119,4,5,20,18
1120,13,15,10,8
1121,4,15,16,7
1122,7,7,13,20
1123,6,4,15,20
1124,22,15,1,1
1125,7,8,17,20
1126,9,6,13,20
1127,12,8,12,16
1128,7,4,16,20
1129,5,4,18,20
1130,8,5,12,20
1131,7,4,14,20
1132,11,4,6,20
1133,7,5,16,20
1134,6,5,18,20
1135,6,11,13,11
1136,9,4,11,20
1137,5,5,18,20
1138,9,7,10,20
1139,5,1,17,20
1140,6,13,19,9
1141,7,5,16,20
1142,7,6,15,20
1143,8,8,12,16
1144,9,5,11,20
1145,5,4,16,20
1146,8,3,14,20
1147,6,6,15,20
1148,5,5,15,20
1149,9,5,12,20
1150,7,4,14,20
1151,6,18,14,6
1152,7,4,16,20
1153,7,7,16,20
1154,5,6,17,20
1155,8,4,14,20
1156,4,7,15,20
1157,4,8,3,4
1158,5,6,18,20
1159,7,1,15,20
1160,4,7,20,17
1161,8,7,14,20
1162,5,4,19,20
1163,20,14,1,1
1164,21,16,5,2
1165,7,14,12,8
1166,8,7,10,20
1167,8,6,14,20
1168,9,13,12,11
1169,5,11,1,1
1170,8,4,13,20
1171,8,6,15,18
1172,8,5,14,20
1173,8,7,12,20
1174,12,5,6,20
1175,5,2,20,20
1176,4,5,20,18
1177,8,5,13,20
1178,9,12,1,1
1179,5,4,18,20
1180,5,5,20,20
1181,10,4,10,20
1182,13,16,6,3
1183,5,3,19,20
1184,7,3,16,20
1185,5,4,16,20
1186,4,8,16,20
1187,5,4,18,20
1188,7,3,18,20
1189,8,2,16,20
1190,10,18,6,2
1191,7,7,14,20
1192,12,5,5,20
1193,6,5,18,20
1194,7,6,16,20
1195,6,4,17,20
1196,5,5,19,20
1197,10,4,8,20
1198,7,4,13,20
1199,5,3,20,20
1200,11,5,7,20
1201,7,5,14,20
1202,19,18,1,1
1203,7,5,14,20
1204,9,3,12,20
1205,8,7,13,20
1206,18,6,6,3
1207,7,5,16,20
1208,5,7,16,20
1209,5,4,19,20
1210,7,5,13,20
1211,9,5,11,20
1212,6,5,14,20
1213,5,4,20,17
1214,6,5,18,20
1215,15,11,1,1
1216,7,7,14,20
1217,8,7,14,20
1218,9,4,10,20
1219,5,5,20,19
1220,5,5,20,16
1221,6,6,15,20
1222,2,3,20,19
1223,7,5,16,20
1224,8,2,13,20
1225,7,6,14,20
1226,4,5,17,20
1227,8,5,14,20
1228,9,3,11,20
1229,9,6,11,20
1230,12,4,6,20
1231,7,7,13,20
1232,8,4,13,19
1233,5,4,17,20
1234,7,3,12,20
1235,9,6,13,20
1236,8,4,12,20
1237,8,5,13,20
1238,13,4,4,20
1239,6,6,20,19
1240,11,2,8,20
1241,2,9,1,2
1242,13,4,4,20
1243,27,18,1,1
1244,6,5,14,20
1245,6,6,20,18
1246,6,4,17,19
1247,7,5,18,20
1248,5,3,18,20
1249,5,4,20,18
1250,10,6,10,20
1251,6,6,14,20
1252,13,4,3,20
1253,6,6,15,20
1254,9,4,11,20
1255,5,4,20,17
1256,9,6,10,19
1257,8,3,14,20
1258,5,5,18,20
1259,9,4,13,20
1260,4,7,20,20
1261,6,6,18,20
1262,5,4,20,18
1263,6,5,20,20
1264,7,3,19,20
1265,6,5,20,20
1266,7,3,18,20
1267,6,5,19,20
1268,8,4,13,20
1269,21,20,1,1
1270,9,4,13,20
1271,5,5,17,20
1272,12,11,12,15
1273,5,5,18,20
1274,5,6,18,20
1275,7,6,16,20
1276,5,7,20,16
1277,8,4,11,20
1278,7,3,13,20
1279,8,5,15,20
1280,7,5,15,20
1281,6,6,15,20
1282,9,5,10,20
1283,10,16,1,1
1284,10,7,9,20
1285,5,8,20,14
1286,8,7,12,20
1287,9,4,12,20
1288,6,5,20,20
1289,6,4,15,20
1290,4,5,20,20
1291,6,6,15,20
1292,8,6,13,20
1293,9,4,9,20
1294,8,22,3,3
1295,4,4,20,20
1296,8,5,16,20
1297,6,3,17,20
1298,7,5,15,20
1299,5,5,20,16
1300,7,6,13,20
1301,5,4,20,20
1302,4,8,20,17
1303,7,2,16,20
1304,6,4,16,20
1305,7,6,14,20
1306,4,8,20,20
1307,9,6,12,20
1308,8,5,12,20
1309,26,17,1,1
1310,4,5,20,20
1311,6,8,20,15
1312,5,4,16,20
1313,6,7,20,17
1314,4,7,17,19
1315,5,4,18,20
1316,20,12,1,1
1317,4,4,18,20
1318,10,3,12,20
1319,6,5,19,20
1320,6,5,14,20
1321,10,5,9,20
1322,1,7,19,20
1323,7,2,16,20
1324,4,4,18,20
1325,5,7,20,15
1326,9,7,10,20
1327,6,2,17,20
1328,15,10,1,1
1329,7,5,18,20
1330,8,12,13,11
1331,8,4,11,20
1332,3,8,20,20
1333,7,5,14,20
1334,5,4,17,20
1335,7,6,13,20
1336,6,5,16,20
1337,8,3,12,20
1338,6,6,15,20
1339,7,4,16,20
1340,7,20,15,5
1341,5,3,16,20
1342,10,6,8,20
1343,7,7,14,20
1344,6,5,15,20
1345,6,5,17,20
1346,5,5,20,18
1347,9,6,12,20
1348,9,6,10,20
1349,6,4,16,20
1350,10,3,10,20
1351,5,4,18,20
1352,7,4,14,20
1353,7,7,14,20
1354,13,4,4,20
1355,9,6,12,20
1356,7,5,16,20
1357,7,4,13,20
1358,8,2,14,19
1359,6,4,17,20
1360,6,5,15,19
